name,tech_level,system_strain,cost,description
Adrenal Suppression Pump,4,1,30000,"Adrenal Suppression Pump: These endocrine pumps neutralize numerous brain chemicals in the user when activated while exciting the user’s perceptual centers. This combination produces a cold, dispassionate situational awareness that grants the user +2 on initiative rolls when the system is engaged. Most systems have built-in safety overrides to prevent psychological addiction and brain damage, allowing the unit to be used for no more than an hour each day. The user takes a -2 penalty on all social skill checks while the unit is active,
and it requires five rounds to toggle it."
Bioadaptation Augments,4,1,10000,"Bioadaptation Augments: These additional synthetic organs and filters allow the bearer to survive in thin atmosphere conditions, as well as tolerate temperatures ranging from Antarctic chill to heat sufficient to boil water. They can also eat a wide range of native life forms for sustenance; no normal planet's native biology is ever considered imiscible for consumption."
Body Arsenal Array,4,1,10000,"Body Arsenal Array: Some personnel need to be armed at all times without giving any indication of such. Improvised weaponry and conventional holdout weapons are useful enough against soft targets, but disabling a target in powered armor requires more. The details of the array vary from user to user, but usually act as advanced medium weapons
that can be used with either Punch or Stab skills and at least one integral energy projector equal to a laser rifle, one that must be powered by an insertable type A power cell. Retracted body arsenals can be detected only by a medical examination."
Body Sculpting,4,1,10000,"Body Sculpting: Not so much a single implant as a series of complex surgeries, body sculpting is available on many TL4 worlds with fairly advanced medical services. After a week of alterations and treatments a subject's external appearance can be set within any human or near-human range, including full retinal and fingerprint matching to a desired target. A TL5 version of this treatment that costs ten times as much can involve extensive
DNA reprogramming to change the subject at a genetic level, making their alterations heritable and allowing female-targeted shapes to bear offspring. Neither treatment is reversible, and any further major alterations require further permanent System Strain."
Dermal Armour,4,2,20000,"Dermal Armor: A fine subcutaneous reinforcement mesh provides significant protection against impacts and cuts while remaining imperceptible to anything short of a medical examination. Someone with a dermal mesh is immune to Shock damage inflicted by primitive melee weapons. A TL5 version of this implant that costs five times as much grants even more protection, rendering the subject wholly immune to primitive weapons as if they were wearing a suit of powered armor."
Drone Control Link,4,1,20000,"Drone Control Link: Most often found among military bot wranglers, civilians can also get a drone control link implanted to simplify the remote piloting of drones and other robotic units.
Users of a link can issue commands to a drone as a Move action instead of a Main Action. A
single drone can only receive one command per round, however. Aside from this ease of command, someone with an implanted rig can ""look"" through a piloted drone's sensors as an Instant action, and a drone is never considered to be out of control even if the pilot doesn't spend a Main Action controlling it. A link can maintain a connection with one drone at a time, plus the user's Program skill."
Eelskin Capacitor Mesh,4,1,25000,"Eelskin Capacitor Mesh: A hair-fine mesh of almost imperceptible wiring along the user’s palms and fingers allow them to trigger brief, controlled bursts of electrical energy at targets within five meters. As an Instant action it adds 2d4 non-lethal damage to a successful Punch attack. In its intended use, it also allows the user to override and disable most electronic locks and security systems with a successful Sneak or Fix skill check. Both triggering a burst and hacking a security system tax the user’s biology; one System Strain point is gained with each attack or skill check."
Gecko Anchors,4,1,15000,"Gecko Anchors: Miniaturized gravitic manipulators are embedded in the subject's hands and feet as part of this complex surgery. While they are too weak to allow levitation or damping fall damage, they can twist localized gravity around those limbs to anchor the subject to the nearest surface capable of bearing their weight. As a result, the user can freely run or climb up sheer surfaces at their normal movement rate, carrying no more than their normal maximum encumbrance."
Ghost Talker Transceiver,4,1,15000,"Ghost Talker Transceiver: Some people simply cannot afford to be out of contact at any time, under any circumstances. Those people find use for the microfine web of radio wiring and optical augmentation that make up the ghost talker. These units act as a built-in compad for the user and allow for reception and transmission of audio and visual recordings, the latter playing in an inset window in the user’s field of vision. If the unit is operating outside of a standard comm grid, it has a transmission range of twenty kilometers and a recep-
tion range of one hundred. Ghost talker users can transmit basic visual diagrams and images to each other, as well as optical recordings."
Holdout Cavity,4,1,10000,"Holdout Cavity: Usually implanted somewhere in the torso, a holdout cavity is a small recess shaped into the wearer’s body and designed to be overlooked by most standard forms of medical or security scanning. It automatically defeats a security inspection that uses less than TL4 scanners, and even advanced tech requires careful personal inspection to have a chance of revealing it. The cavity can hold an object up to the size of a pistol and is opened and shut by the user’s mental command."
